tipo_cale_l3,ficha_actual_opex_anual,plan.41_valor,usco,tthh_anexoA_mensual,platec_anexoA_mensual
L3.CALE_TEORICO.24q,405188640,10578613165,,16500000,3500000
L3.CALE_TEORICO.16q,308609720,14606966197,,12500000,2500000
L3.CALE_TEORICO.4q,179756600,6263963197,,8300000,2000000
