Categoria,Qty,Unitario_L3_oficial,Total_L3_oficial,Unitario_usuario,Total_usuario,Delta_usuario_vs_L3
CALE.n_1+,3,7066000000,21198000000,22876959265,68630877795,47432877795
CALE.n_2**,16,200646497,3210343952,22087585297,353401364752,350191020800
CALE.n_3,16,0,0,5641306197,90260899152,90260899152
red_satelites,0,0,0,,,
