file,capex,opex_anual,capacidad_anual,zeros,missing
C:\guezarel\output\fichas_html\BIM_L0_076.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_077.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_078.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_079.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_080.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_081.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_082.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_083.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_084.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_085.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_086.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_087.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_088.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_089.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_090.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_091.html,,,,,capex;opex;capacidad
fichas_l5\BIM_L5_001.html,3,,3,,opex
fichas_l5\index_l5.html,,,,,capex;opex;capacidad
output\fichas_cale_teorico\BIM_L3_010_L3_CALE_TEORICO_24q.html,721,2,,,capacidad
output\fichas_cale_teorico\BIM_L3_011_L3_CALE_TEORICO_16q.html,721,2,,,capacidad
output\fichas_cale_teorico\BIM_L3_012_L3_CALE_TEORICO_4q.html,265,2,,,capacidad
