Categoria,Qty,Unitario_compuesto,Total_compuesto,Unit_usuario,Total_usuario,Delta_usuario_vs_compuesto
CALE.n_1,17,10311613165,175297423805,17311999565,294303992605,119006568800
CALE.n_2**,16,14423966197,230783459152,22087585297,353401364752,122617905600
CALE.n_2,4,14381966197,57527864788,11206265897,44825063588,-12702801200
CALE.n_1+,3,24693579362,74080738086,22876959265,68630877795,-5449860291
CALE.n_3,16,5996963197,95951411152,5641306197,90260899152,-5690512000
